Week,elon musk: (United States)
1/3/2016,4
1/10/2016,4
1/17/2016,5
1/24/2016,5
1/31/2016,7
2/7/2016,6
2/14/2016,4
2/21/2016,5
2/28/2016,4
3/6/2016,4
3/13/2016,4
3/20/2016,6
3/27/2016,9
4/3/2016,11
4/10/2016,8
4/17/2016,6
4/24/2016,6
5/1/2016,7
5/8/2016,6
5/15/2016,5
5/22/2016,5
5/29/2016,9
6/5/2016,8
6/12/2016,6
6/19/2016,7
6/26/2016,5
7/3/2016,4
7/10/2016,5
7/17/2016,11
7/24/2016,6
7/31/2016,7
8/7/2016,4
8/14/2016,4
8/21/2016,5
8/28/2016,8
9/4/2016,5
9/11/2016,5
9/18/2016,5
9/25/2016,17
10/2/2016,9
10/9/2016,7
10/16/2016,9
10/23/2016,8
10/30/2016,12
11/6/2016,9
11/13/2016,10
11/20/2016,8
11/27/2016,8
12/4/2016,7
12/11/2016,12
12/18/2016,8
12/25/2016,6
1/1/2017,6
1/8/2017,6
1/15/2017,7
1/22/2017,9
1/29/2017,12
2/5/2017,7
2/12/2017,9
2/19/2017,9
2/26/2017,9
3/5/2017,9
3/12/2017,6
3/19/2017,7
3/26/2017,14
4/2/2017,10
4/9/2017,8
4/16/2017,8
4/23/2017,21
4/30/2017,14
5/7/2017,10
5/14/2017,9
5/21/2017,7
5/28/2017,20
6/4/2017,8
6/11/2017,8
6/18/2017,8
6/25/2017,9
7/2/2017,10
7/9/2017,10
7/16/2017,15
7/23/2017,13
7/30/2017,12
8/6/2017,13
8/13/2017,9
8/20/2017,10
8/27/2017,8
9/3/2017,11
9/10/2017,8
9/17/2017,7
9/24/2017,13
10/1/2017,14
10/8/2017,12
10/15/2017,10
10/22/2017,10
10/29/2017,9
11/5/2017,8
11/12/2017,16
11/19/2017,14
11/26/2017,15
12/3/2017,12
12/10/2017,11
12/17/2017,19
12/24/2017,17
12/31/2017,12
1/7/2018,12
1/14/2018,10
1/21/2018,11
1/28/2018,34
2/4/2018,100
2/11/2018,42
2/18/2018,21
2/25/2018,16
3/4/2018,15
3/11/2018,23
3/18/2018,17
3/25/2018,18
4/1/2018,18
4/8/2018,14
4/15/2018,12
4/22/2018,12
4/29/2018,16
5/6/2018,49
5/13/2018,19
5/20/2018,19
5/27/2018,17
6/3/2018,13
6/10/2018,17
6/17/2018,15
6/24/2018,12
7/1/2018,20
7/8/2018,46
7/15/2018,40
7/22/2018,17
7/29/2018,15
8/5/2018,23
8/12/2018,33
8/19/2018,26
8/26/2018,16
9/2/2018,68
9/9/2018,57
9/16/2018,29
9/23/2018,36
9/30/2018,49
10/7/2018,21
10/14/2018,30
10/21/2018,33
10/28/2018,18
11/4/2018,17
11/11/2018,14
11/18/2018,12
11/25/2018,17
12/2/2018,14
12/9/2018,25
12/16/2018,19
12/23/2018,15
12/30/2018,15
